rank_name,position,seat,seat_span,row_letter,seat_number,title,name,full_text
ĐẠI TƯỚNG LƯƠNG TAM QUANG,ỦY VIÊN BỘ CHÍNH TRỊ BỘ TRƯỞNG BỘ CÔNG AN,A3,,A,3,ĐẠI TƯỚNG,LƯƠNG TAM QUANG,ĐẠI TƯỚNG | LƯƠNG TAM QUANG | ỦY VIÊN BỘ CHÍNH TRỊ | BỘ TRƯỞNG | BỘ CÔNG AN
ĐẠI TƯỚNG NGUYỄN TRỌNG NGHĨA,"UV BỘ CHÍNH TRỊ, CHỦ NHIỆM TCCT QUÂN ĐỘI NHÂN DÂN VIỆT NAM",A5,,A,5,ĐẠI TƯỚNG,NGUYỄN TRỌNG NGHĨA,"ĐẠI TƯỚNG | NGUYỄN TRỌNG NGHĨA | UV BỘ CHÍNH TRỊ, CHỦ NHIỆM TCCT QUÂN ĐỘI NHÂN DÂN VIỆT NAM"
ĐỒNG CHÍ NGUYỄN HÒA BÌNH,"NGUYÊN UV BCT, NGUYÊN PHÓ THỦ TƯỚNG TT NƯỚC CHXHCN VIỆT NAM",A7,,A,7,ĐỒNG CHÍ,NGUYỄN HÒA BÌNH,"ĐỒNG CHÍ | NGUYỄN HÒA BÌNH | NGUYÊN UV BCT, NGUYÊN PHÓ THỦ TƯỚNG TT NƯỚC CHXHCN VIỆT NAM"
THƯỢNG TƯỚNG NGUYỄN DOÃN ANH,"UỶ VIÊN BCHTW ĐẢNG, PHÓ CHỦ TỊCH QUỐC HỘI NƯỚC CHXHCN VN",A9,,A,9,THƯỢNG TƯỚNG,NGUYỄN DOÃN ANH,"THƯỢNG TƯỚNG | NGUYỄN DOÃN ANH | UỶ VIÊN BCHTW ĐẢNG, PHÓ CHỦ TỊCH QUỐC HỘI NƯỚC CHXHCN VN"
THƯỢNG TƯỚNG HUỲNH NGỌC SƠN,NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI,A11,,A,11,THƯỢNG TƯỚNG,HUỲNH NGỌC SƠN,THƯỢNG TƯỚNG | HUỲNH NGỌC SƠN | NGUYÊN PHÓ | CHỦ TỊCH QUỐC HỘI
ĐẠI BIỂU LƯƠNG THỊ PHONG,MẸ VIỆT NAM ANH HÙNG,A13,,A,13,ĐẠI BIỂU,LƯƠNG THỊ PHONG,ĐẠI BIỂU | LƯƠNG THỊ PHONG | MẸ VIỆT NAM ANH HÙNG
ĐẠI BIỂU NGÔ CHÍ NGUYỆN,ANH HÙNG LỰC LƯỢNG VŨ TRANG NHÂN DÂN,A15,,A,15,ĐẠI BIỂU,NGÔ CHÍ NGUYỆN,ĐẠI BIỂU | NGÔ CHÍ NGUYỆN | ANH HÙNG LỰC LƯỢNG VŨ TRANG NHÂN DÂN
THƯỢNG TƯỚNG NGUYỄN VĂN ĐƯỢC,NGUYÊN THỨ TRƯỞNG BỘ QUỐC PHÒNG,A17,,A,17,THƯỢNG TƯỚNG,NGUYỄN VĂN ĐƯỢC,THƯỢNG TƯỚNG | NGUYỄN VĂN ĐƯỢC | NGUYÊN THỨ TRƯỞNG BỘ QUỐC PHÒNG
THƯỢNG TƯỚNG NGUYỄN VĂN HIỀN,"UỶ VIÊN BCHTW ĐẢNG, THỨ TRƯỞNG BQP",A19,,A,19,THƯỢNG TƯỚNG,NGUYỄN VĂN HIỀN,"THƯỢNG TƯỚNG | NGUYỄN VĂN HIỀN | UỶ VIÊN BCHTW ĐẢNG, THỨ TRƯỞNG BQP"
PHÓ ĐÔ ĐỐC TRẦN THANH NGHIÊM,"UỶ VIÊN BCHTW ĐẢNG, TƯ LỆNH QC HẢI QUÂN",B20,,B,20,PHÓ ĐÔ ĐỐC,TRẦN THANH NGHIÊM,"PHÓ ĐÔ ĐỐC | TRẦN THANH NGHIÊM | UỶ VIÊN BCHTW ĐẢNG, | TƯ LỆNH QC HẢI QUÂN"
ĐỒNG CHÍ TRẦN PHONG,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY KHÁNH HÒA",B18,,B,18,ĐỒNG CHÍ,TRẦN PHONG,"ĐỒNG CHÍ | TRẦN PHONG | UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY | KHÁNH HÒA"
ĐỒNG CHÍ LƯƠNG NGUYỄN MINH TRIẾT,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY ĐĂK LĂK",B16,,B,16,ĐỒNG CHÍ,LƯƠNG NGUYỄN MINH TRIẾT,"ĐỒNG CHÍ | LƯƠNG NGUYỄN MINH TRIẾT | UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY ĐĂK LĂK"
ĐỒNG CHÍ HỒ VĂN NIÊN,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY Q.NGÃI",B14,,B,14,ĐỒNG CHÍ,HỒ VĂN NIÊN,"ĐỒNG CHÍ | HỒ VĂN NIÊN | UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY Q.NGÃI"
ĐỒNG CHÍ LÊ NGỌC QUANG,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ THÀNH ỦY ĐÀ NẴNG",B12,,B,12,ĐỒNG CHÍ,LÊ NGỌC QUANG,"ĐỒNG CHÍ | LÊ NGỌC QUANG | UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ THÀNH ỦY | ĐÀ NẴNG"
ĐỒNG CHÍ THÁI ĐẠI NGỌC,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY GIA LAI",B10,,B,10,ĐỒNG CHÍ,THÁI ĐẠI NGỌC,"ĐỒNG CHÍ | THÁI ĐẠI NGỌC | UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY GIA LAI"
THƯỢNG TƯỚNG LÊ CHIÊM,NGUYÊN THỨ TRƯỞNG BỘ QUỐC PHÒNG,B8,,B,8,THƯỢNG TƯỚNG,LÊ CHIÊM,THƯỢNG TƯỚNG | LÊ CHIÊM | NGUYÊN THỨ TRƯỞNG | BỘ QUỐC PHÒNG
THƯỢNG TƯỚNG TRƯƠNG QUANG KHÁNH,NGUYÊN THỨ TRƯỞNG BỘ QUỐC PHÒNG,B6,,B,6,THƯỢNG TƯỚNG,TRƯƠNG QUANG KHÁNH,THƯỢNG TƯỚNG | TRƯƠNG QUANG KHÁNH | NGUYÊN THỨ TRƯỞNG BỘ QUỐC PHÒNG
ĐỒNG CHÍ TÔ ÂN XÔ,TRỢ LÝ TỔNG BÍ THƯ PHỤ TRÁCH VĂN PHÒNG TỔNG BÍ THƯ,B4,,B,4,ĐỒNG CHÍ,TÔ ÂN XÔ,ĐỒNG CHÍ | TÔ ÂN XÔ | TRỢ LÝ TỔNG BÍ THƯ | PHỤ TRÁCH VĂN PHÒNG | TỔNG BÍ THƯ
ĐỒNG CHÍ NGUYỄN THỊ THU HÀ UỶ VIÊN BCHTW ĐẢNG PHÓ CHÁNH VĂN PHÒNG TT,VĂN PHÒNG TW ĐẢNG,B2,,B,2,ĐỒNG CHÍ,NGUYỄN THỊ THU HÀ UỶ VIÊN BCHTW ĐẢNG PHÓ CHÁNH VĂN PHÒNG TT,ĐỒNG CHÍ | NGUYỄN THỊ THU HÀ UỶ VIÊN BCHTW ĐẢNG PHÓ CHÁNH VĂN PHÒNG TT | VĂN PHÒNG TW ĐẢNG
TRUNG TƯỚNG LÊ NGỌC HẢI,UỶ VIÊN BCHTW ĐẢNG TƯ LỆNHQUÂN KHU,B1,,B,1,TRUNG TƯỚNG,LÊ NGỌC HẢI,TRUNG TƯỚNG | LÊ NGỌC HẢI | UỶ VIÊN BCHTW ĐẢNG | TƯ LỆNHQUÂN KHU
THƯỢNG TƯỚNG TRƯƠNG THIÊN TÔ,"UỶ VIÊN BCHTW ĐẢNG, PHÓ CHỦ NHIỆM TCCT QĐND VIỆT NAM",B3,,B,3,THƯỢNG TƯỚNG,TRƯƠNG THIÊN TÔ,"THƯỢNG TƯỚNG | TRƯƠNG THIÊN TÔ | UỶ VIÊN BCHTW ĐẢNG, PHÓ CHỦ NHIỆM TCCT | QĐND VIỆT NAM"
TRUNG TƯỚNG LÊ VĂN HƯỚNG,PHÓ TỔNG THAM MƯU TRƯỞNG QĐND VIỆT NAM,B5,,B,5,TRUNG TƯỚNG,LÊ VĂN HƯỚNG,TRUNG TƯỚNG | LÊ VĂN HƯỚNG | PHÓ TỔNG THAM MƯU TRƯỞNG QĐND VIỆT NAM
TRUNG TƯỚNG NGUYỄN TRUNG THU,NGUYÊN PHÓ TỔNG TMT QĐNDVN,B7,,B,7,TRUNG TƯỚNG,NGUYỄN TRUNG THU,TRUNG TƯỚNG | NGUYỄN TRUNG THU | NGUYÊN PHÓ TỔNG TMT | QĐNDVN
THƯỢNG TƯỚNG VÕ TIẾN TRUNG,NGUYÊN GIÁM ĐỐC HỌC VIỆN QUỐC PHÒNG,B9,,B,9,THƯỢNG TƯỚNG,VÕ TIẾN TRUNG,THƯỢNG TƯỚNG | VÕ TIẾN TRUNG | NGUYÊN GIÁM ĐỐC | HỌC VIỆN QUỐC PHÒNG
TRUNG TƯỚNG TIÊU VĂN MẪN,NGUYÊN PHÓ TƯ LỆNH VỀ CHÍNH TRỊ,B11,,B,11,TRUNG TƯỚNG,TIÊU VĂN MẪN,TRUNG TƯỚNG | TIÊU VĂN MẪN | NGUYÊN PHÓ | TƯ LỆNH VỀ CHÍNH TRỊ
TRUNG TƯỚNG NGUYỄN THÀNH ĐỨC,NGUYÊN CHÍNH ỦY QUÂN KHU,B13,,B,13,TRUNG TƯỚNG,NGUYỄN THÀNH ĐỨC,TRUNG TƯỚNG | NGUYỄN THÀNH ĐỨC | NGUYÊN CHÍNH ỦY | QUÂN KHU
TRUNG TƯỚNG NGUYỄN LONG CÁNG,NGUYÊN TƯ LỆNH QUÂN KHU,B15,,B,15,TRUNG TƯỚNG,NGUYỄN LONG CÁNG,TRUNG TƯỚNG | NGUYỄN LONG CÁNG | NGUYÊN TƯ LỆNH | QUÂN KHU
TRUNG TƯỚNG TRỊNH ĐÌNH THẠCH,NGUYÊN CHÍNH ỦY QUÂN KHU,B17,,B,17,TRUNG TƯỚNG,TRỊNH ĐÌNH THẠCH,TRUNG TƯỚNG | TRỊNH ĐÌNH THẠCH | NGUYÊN CHÍNH ỦY | QUÂN KHU
THIẾU TƯỚNG VÕ DUY CHÍN,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,B19,,B,19,THIẾU TƯỚNG,VÕ DUY CHÍN,THIẾU TƯỚNG | VÕ DUY CHÍN | NGUYÊN PHÓ CN | CHÍNH TRỊ QUÂN KHU
THIẾU TƯỚNG PHAN ĐẠI NGHĨA,PHÓ TƯ LỆNH KIÊM TMT QUÂN KHU,C20,,C,20,THIẾU TƯỚNG,PHAN ĐẠI NGHĨA,THIẾU TƯỚNG | PHAN ĐẠI NGHĨA | PHÓ TƯ LỆNH KIÊM TMT QUÂN KHU
TRUNG TƯỚNG NGUYỄN BÁ HÙNG,CHÍNH ỦY HỌC VIỆN CHÍNH TRỊ,C18,,C,18,TRUNG TƯỚNG,NGUYỄN BÁ HÙNG,TRUNG TƯỚNG | NGUYỄN BÁ HÙNG | CHÍNH ỦY | HỌC VIỆN CHÍNH TRỊ
TRUNG TƯỚNG NGÔ TRỌNG CƯỜNG,PHÓ GIÁM ĐỐC HỌC VIỆN QUỐC PHÒNG,C16,,C,16,TRUNG TƯỚNG,NGÔ TRỌNG CƯỜNG,TRUNG TƯỚNG | NGÔ TRỌNG CƯỜNG | PHÓ GIÁM ĐỐC | HỌC VIỆN QUỐC PHÒNG
THIẾU TƯỚNG TẠ XUÂN THỦY,PHÓ TỔNG CỤC TRƯỞNG TỔNG CỤC II,C14,,C,14,THIẾU TƯỚNG,TẠ XUÂN THỦY,THIẾU TƯỚNG | TẠ XUÂN THỦY | PHÓ TỔNG CỤC TRƯỞNG | TỔNG CỤC II
TRUNG TƯỚNG HÀ THỌ BÌNH,TƯ LỆNH QUÂN KHU 4,C12,,C,12,TRUNG TƯỚNG,HÀ THỌ BÌNH,TRUNG TƯỚNG | HÀ THỌ BÌNH | TƯ LỆNH | QUÂN KHU 4
THIẾU TƯỚNG TRẦN VĂN BẮC,"UỶ VIÊN BCHTW ĐẢNG, TƯ LỆNH QUÂN KHU 2",C10,,C,10,THIẾU TƯỚNG,TRẦN VĂN BẮC,"THIẾU TƯỚNG | TRẦN VĂN BẮC | UỶ VIÊN BCHTW ĐẢNG, | TƯ LỆNH QUÂN KHU 2"
TRUNG TƯỚNG ĐÀO TUẤN ANH,"UỶ VIÊN BCHTW ĐẢNG, TƯ LỆNH QUÂN ĐOÀN 34",C8,,C,8,TRUNG TƯỚNG,ĐÀO TUẤN ANH,"TRUNG TƯỚNG | ĐÀO TUẤN ANH | UỶ VIÊN BCHTW ĐẢNG, | TƯ LỆNH QUÂN ĐOÀN 34"
TRUNG TƯỚNG VŨ HỒNG SƠN,"UỶ VIÊN BCHTW ĐẢNG, TƯ LỆNH QC PK-KQ",C6,,C,6,TRUNG TƯỚNG,VŨ HỒNG SƠN,"TRUNG TƯỚNG | VŨ HỒNG SƠN | UỶ VIÊN BCHTW ĐẢNG, | TƯ LỆNH QC PK-KQ"
TRUNG TƯỚNG LÊ XUÂN THẾ,"UỶ VIÊN BCHTW ĐẢNG, TƯ LỆNH QUÂN KHU 7",C4,,C,4,TRUNG TƯỚNG,LÊ XUÂN THẾ,"TRUNG TƯỚNG | LÊ XUÂN THẾ | UỶ VIÊN BCHTW ĐẢNG, | TƯ LỆNH QUÂN KHU 7"
THIẾU TƯỚNG LƯƠNG ĐÌNH CHUNG,CHÍNH UỶ QUÂN KHU,C2,,C,2,THIẾU TƯỚNG,LƯƠNG ĐÌNH CHUNG,THIẾU TƯỚNG | LƯƠNG ĐÌNH CHUNG | CHÍNH UỶ | QUÂN KHU
TRUNG TƯỚNG NGUYỄN VIẾT TUYÊN,CHÁNH VĂN PHÒNG QUÂN ỦY TW VĂN PHÒNG BQP,C1,,C,1,TRUNG TƯỚNG,NGUYỄN VIẾT TUYÊN,TRUNG TƯỚNG | NGUYỄN VIẾT TUYÊN | CHÁNH VĂN PHÒNG | QUÂN ỦY TW | VĂN PHÒNG BQP
THIẾU TƯỚNG NGUYỄN VĂN THÂN,TRỢ LÝ BỘ TRƯỞNG BỘ QUỐC PHÒNG,C3,,C,3,THIẾU TƯỚNG,NGUYỄN VĂN THÂN,THIẾU TƯỚNG | NGUYỄN VĂN THÂN | TRỢ LÝ BỘ TRƯỞNG | BỘ QUỐC PHÒNG
TRUNG TƯỚNG TRẦN MINH ĐỨC,CHỦ NHIỆM TỔNG CỤC HC - Đoàn KT - QP 206,C5,,C,5,TRUNG TƯỚNG,TRẦN MINH ĐỨC,TRUNG TƯỚNG | TRẦN MINH ĐỨC | CHỦ NHIỆM TỔNG CỤC | HC - Đoàn KT - QP 206
TRUNG TƯỚNG ĐINH QUỐC HÙNG,CHINH ỦY TỔNG CỤC CÔNG NGHIỆP QP,C7,,C,7,TRUNG TƯỚNG,ĐINH QUỐC HÙNG,TRUNG TƯỚNG | ĐINH QUỐC HÙNG | CHINH ỦY TỔNG CỤC CÔNG NGHIỆP QP
TRUNG TƯỚNG NGUYỄN VĂN HÙNG,PHÓ CN UBKT QUÂN ỦY TW,C9,,C,9,TRUNG TƯỚNG,NGUYỄN VĂN HÙNG,TRUNG TƯỚNG | NGUYỄN VĂN HÙNG | PHÓ CN UBKT | QUÂN ỦY TW
TRUNG TƯỚNG NGUYỄN VĂN TUYÊN,NGUYÊN PHÓ GIÁM ĐỐC HỌC VIỆN,C11,,C,11,TRUNG TƯỚNG,NGUYỄN VĂN TUYÊN,TRUNG TƯỚNG | NGUYỄN VĂN TUYÊN | NGUYÊN PHÓ GIÁM ĐỐC | HỌC VIỆN
THIẾU TƯỚNG TRẦN MINH HÙNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C13,,C,13,THIẾU TƯỚNG,TRẦN MINH HÙNG,THIẾU TƯỚNG | TRẦN MINH HÙNG | NGUYÊN PHÓ TƯ LỆNH | QUÂN KHU
THIẾU TƯỚNG NGUYỄN QUY NHƠN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C15,,C,15,THIẾU TƯỚNG,NGUYỄN QUY NHƠN,THIẾU TƯỚNG | NGUYỄN QUY NHƠN | NGUYÊN PHÓ TƯ LỆNH | QUÂN KHU
TRUNG TƯỚNG LÊ NGỌC NAM,NGUYÊN PHÓ CN UBKT QUÂN ỦY TRUNG ƯƠNG,C17,,C,17,TRUNG TƯỚNG,LÊ NGỌC NAM,TRUNG TƯỚNG | LÊ NGỌC NAM | NGUYÊN PHÓ CN UBKT | QUÂN ỦY TRUNG ƯƠNG
THIẾU TƯỚNG TRẦN MINH TRỌNG,PHÓ CHÍNH ỦY QUÂN KHU,C19,,C,19,THIẾU TƯỚNG,TRẦN MINH TRỌNG,THIẾU TƯỚNG | TRẦN MINH TRỌNG | PHÓ CHÍNH ỦY | QUÂN KHU
THIẾU TƯỚNG HỨA VĂN TƯỞNG,PHÓ TƯ LỆNH QUÂN KHU,D20,,D,20,THIẾU TƯỚNG,HỨA VĂN TƯỞNG,THIẾU TƯỚNG | HỨA VĂN TƯỞNG | PHÓ TƯ LỆNH | QUÂN KHU
THIẾU TƯỚNG HÀ TẤT ĐẠT,PHÓ TƯ LỆNH QUÂN KHU 3,D18,,D,18,THIẾU TƯỚNG,HÀ TẤT ĐẠT,THIẾU TƯỚNG | HÀ TẤT ĐẠT | PHÓ TƯ LỆNH | QUÂN KHU 3
THIẾU TƯỚNG LƯU NAM TIẾN,CHÍNH ỦY BTL THỦ ĐÔ HÀ NỘI,D16,,D,16,THIẾU TƯỚNG,LƯU NAM TIẾN,THIẾU TƯỚNG | LƯU NAM TIẾN | CHÍNH ỦY | BTL THỦ ĐÔ HÀ NỘI
THIẾU TƯỚNG TRẦN XUÂN MẠNH,PHÓ TƯ LỆNH - TMT QUÂN KHU 1,D14,,D,14,THIẾU TƯỚNG,TRẦN XUÂN MẠNH,THIẾU TƯỚNG | TRẦN XUÂN MẠNH | PHÓ TƯ LỆNH - TMT | QUÂN KHU 1
THIẾU TƯỚNG TRẦN ĐẠI THẮNG,CHÍNH ỦY QUÂN ĐOÀN 12,D12,,D,12,THIẾU TƯỚNG,TRẦN ĐẠI THẮNG,THIẾU TƯỚNG | TRẦN ĐẠI THẮNG | CHÍNH ỦY | QUÂN ĐOÀN 12
THIẾU TƯỚNG LÊ ĐÌNH CƯỜNG,TƯ LỆNH CẢNH SÁT BIỂN,D10,,D,10,THIẾU TƯỚNG,LÊ ĐÌNH CƯỜNG,THIẾU TƯỚNG | LÊ ĐÌNH CƯỜNG | TƯ LỆNH | CẢNH SÁT BIỂN
THIẾU TƯỚNG ĐÀO MINH ĐẠO,PHÓ CỤC TRƯỞNG CỤC TÀI CHÍNH,D8,,D,8,THIẾU TƯỚNG,ĐÀO MINH ĐẠO,THIẾU TƯỚNG | ĐÀO MINH ĐẠO | PHÓ CỤC TRƯỞNG | CỤC TÀI CHÍNH
ĐỒNG CHÍ NG. TỰ CÔNG HOÀNG,PHÓ CHỦ TỊCH UBND TỈNH GIA LAI,D6,,D,6,ĐỒNG CHÍ,NG. TỰ CÔNG HOÀNG,ĐỒNG CHÍ | NG. TỰ CÔNG HOÀNG | PHÓ CHỦ TỊCH UBND | TỈNH GIA LAI
ĐỒNG CHÍ TRẦN NAM HƯNG,PHÓ CHỦ TỊCH UBND TP. ĐÀ NẴNG,D4,,D,4,ĐỒNG CHÍ,TRẦN NAM HƯNG,ĐỒNG CHÍ | TRẦN NAM HƯNG | PHÓ CHỦ TỊCH UBND | TP. ĐÀ NẴNG
ĐẠI TÁ NGUYỄN HỮU QUẢNG,THƯ KÝ BỘ TRƯỞNG BỘ QUỐC PHÒNG,D2,,D,2,ĐẠI TÁ,NGUYỄN HỮU QUẢNG,ĐẠI TÁ | NGUYỄN HỮU QUẢNG | THƯ KÝ BỘ TRƯỞNG | BỘ QUỐC PHÒNG
THIẾU TƯỚNG NGUYỄN VĂN THANH,PHÓ TƯ LỆNH CẢNH VỆ BỘ CÔNG AN,D1,,D,1,THIẾU TƯỚNG,NGUYỄN VĂN THANH,THIẾU TƯỚNG | NGUYỄN VĂN THANH | PHÓ TƯ LỆNH CẢNH VỆ BỘ CÔNG AN
THIẾU TƯỚNG ĐINH DƯƠNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D3,,D,3,THIẾU TƯỚNG,ĐINH DƯƠNG,THIẾU TƯỚNG | ĐINH DƯƠNG | NGUYÊN PHÓ TƯ LỆNH | QUÂN KHU
THIẾU TƯỚNG NGUYỄN TRỌNG HUY,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D5,,D,5,THIẾU TƯỚNG,NGUYỄN TRỌNG HUY,THIẾU TƯỚNG | NGUYỄN TRỌNG HUY | NGUYÊN PHÓ TƯ LỆNH | QUÂN KHU
TRUNG TƯỚNG NGÔ QUÝ ĐỨC,NGUYÊN CỤC TRƯỞNG CỤC CH - CN,D7,,D,7,TRUNG TƯỚNG,NGÔ QUÝ ĐỨC,TRUNG TƯỚNG | NGÔ QUÝ ĐỨC | NGUYÊN CỤC TRƯỞNG | CỤC CH - CN
TRUNG TƯỚNG LÊ ANH THƠ,NGUYÊN CHÍNH ỦY HỌC VIỆN LỤC QUÂN,D9,,D,9,TRUNG TƯỚNG,LÊ ANH THƠ,TRUNG TƯỚNG | LÊ ANH THƠ | NGUYÊN CHÍNH ỦY | HỌC VIỆN LỤC QUÂN
TRUNG TƯỚNG NGUYỄN THANH TUẤN,NGUYÊN CỤC TRƯỞNG CỤC TUYÊN HUẤN,D11,,D,11,TRUNG TƯỚNG,NGUYỄN THANH TUẤN,TRUNG TƯỚNG | NGUYỄN THANH TUẤN | NGUYÊN CỤC TRƯỞNG | CỤC TUYÊN HUẤN
TRUNG TƯỚNG TẠ NHÂN,NGUYÊN PHÓ CN UBKT QUÂN ỦY TRUNG ƯƠNG,D13,,D,13,TRUNG TƯỚNG,TẠ NHÂN,TRUNG TƯỚNG | TẠ NHÂN | NGUYÊN PHÓ CN UBKT | QUÂN ỦY TRUNG ƯƠNG
TRUNG TƯỚNG TRẦN PHƯỚC TỚI,NGUYÊN PHÓ VIỆN TRƯỞNG VKSNDTC,D15,,D,15,TRUNG TƯỚNG,TRẦN PHƯỚC TỚI,TRUNG TƯỚNG | TRẦN PHƯỚC TỚI | NGUYÊN PHÓ | VIỆN TRƯỞNG VKSNDTC
TRUNG TƯỚNG NGUYỄN NGỌC CẢ,NGUYÊN HIỆU TRƯỞNG TRƯỜNG SQLQ2,D17,,D,17,TRUNG TƯỚNG,NGUYỄN NGỌC CẢ,TRUNG TƯỚNG | NGUYỄN NGỌC CẢ | NGUYÊN HIỆU TRƯỞNG | TRƯỜNG SQLQ2
THIẾU TƯỚNG TRẦN THANH HẢI,PHÓ TƯ LỆNH QUÂN KHU,D19,,D,19,THIẾU TƯỚNG,TRẦN THANH HẢI,THIẾU TƯỚNG | TRẦN THANH HẢI | PHÓ TƯ LỆNH | QUÂN KHU
THIẾU TƯỚNG NGUYỄN QUỐC HƯƠNG,PHÓ TƯ LỆNH QUÂN KHU,E20,,E,20,THIẾU TƯỚNG,NGUYỄN QUỐC HƯƠNG,THIẾU TƯỚNG | NGUYỄN QUỐC HƯƠNG | PHÓ TƯ LỆNH | QUÂN KHU
THIẾU TƯỚNG HOÀNG VĂN SỸ,TƯ LỆNH BINH ĐOÀN 15,E18,,E,18,THIẾU TƯỚNG,HOÀNG VĂN SỸ,THIẾU TƯỚNG | HOÀNG VĂN SỸ | TƯ LỆNH | BINH ĐOÀN 15
THIẾU TƯỚNG NGUYỄN QUỐC DUẨN,CHÍNH ỦY BINH CHỦNG ĐẶC CÔNG,E16,,E,16,THIẾU TƯỚNG,NGUYỄN QUỐC DUẨN,THIẾU TƯỚNG | NGUYỄN QUỐC DUẨN | CHÍNH ỦY | BINH CHỦNG ĐẶC CÔNG
THIẾU TƯỚNG VŨ VIẾT HOÀNG,TƯ LỆNH BINH CHỦNG TTLL,E14,,E,14,THIẾU TƯỚNG,VŨ VIẾT HOÀNG,THIẾU TƯỚNG | VŨ VIẾT HOÀNG | TƯ LỆNH | BINH CHỦNG TTLL
THIẾU TƯỚNG VŨ HẢI ĐĂNG,PHÓ CHÁNH THANH TRA BỘ QUỐC PHÒNG,E12,,E,12,THIẾU TƯỚNG,VŨ HẢI ĐĂNG,THIẾU TƯỚNG | VŨ HẢI ĐĂNG | PHÓ CHÁNH THANH TRA | BỘ QUỐC PHÒNG
THIẾU TƯỚNG TRẦN NGỌC HỮU,PHÓ TƯ LỆNH BỘ ĐỘI BIÊN PHÒNG,E10,,E,10,THIẾU TƯỚNG,TRẦN NGỌC HỮU,THIẾU TƯỚNG | TRẦN NGỌC HỮU | PHÓ TƯ LỆNH BỘ ĐỘI | BIÊN PHÒNG
THIẾU TƯỚNG NGUYỄN VĂN TIỀN,PHÓ TƯ LỆNH QUÂN KHU 9,E8,,E,8,THIẾU TƯỚNG,NGUYỄN VĂN TIỀN,THIẾU TƯỚNG | NGUYỄN VĂN TIỀN | PHÓ TƯ LỆNH | QUÂN KHU 9
ĐỒNG CHÍ ĐOÀN HỒNG NGỌC,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II BAN NỘI CHÍNH TW,E6,,E,6,ĐỒNG CHÍ,ĐOÀN HỒNG NGỌC,ĐỒNG CHÍ | ĐOÀN HỒNG NGỌC | VỤ TRƯỞNG | VỤ ĐỊA PHƯƠNG II | BAN NỘI CHÍNH TW
ĐỒNG CHÍ NGUYỄN ĐỨC CUNG,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II VĂN PHÒNG TWĐ,E4,,E,4,ĐỒNG CHÍ,NGUYỄN ĐỨC CUNG,ĐỒNG CHÍ | NGUYỄN ĐỨC CUNG | VỤ TRƯỞNG | VỤ ĐỊA PHƯƠNG II | VĂN PHÒNG TWĐ
ĐỒNG CHÍ CAO HOÀNG SƠN,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II BAN TỔ CHỨC TW,E2,,E,2,ĐỒNG CHÍ,CAO HOÀNG SƠN,ĐỒNG CHÍ | CAO HOÀNG SƠN | VỤ TRƯỞNG | VỤ ĐỊA PHƯƠNG II | BAN TỔ CHỨC TW
THIẾU TƯỚNG VÕ VĂN HƯNG,CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,E1,,E,1,THIẾU TƯỚNG,VÕ VĂN HƯNG,THIẾU TƯỚNG | VÕ VĂN HƯNG | CHỦ NHIỆM CHÍNH TRỊ | QUÂN KHU
THIẾU TƯỚNG LƯU XUÂN PHƯƠNG,PHÓ TMT QUÂN KHU,E3,,E,3,THIẾU TƯỚNG,LƯU XUÂN PHƯƠNG,THIẾU TƯỚNG | LƯU XUÂN PHƯƠNG | PHÓ TMT | QUÂN KHU
THIẾU TƯỚNG TỐNG PHÚ,PHÓ GIÁM ĐỐC HỌC VIỆN LỤC QUÂN,E5,,E,5,THIẾU TƯỚNG,TỐNG PHÚ,THIẾU TƯỚNG | TỐNG PHÚ | PHÓ GIÁM ĐỐC | HỌC VIỆN LỤC QUÂN
TRUNG TƯỚNG TRƯƠNG ĐỨC NGHĨA,NGUYÊN PHÓ GIÁM ĐỐC HỌC VIỆN QUỐC PHÒNG,E7,,E,7,TRUNG TƯỚNG,TRƯƠNG ĐỨC NGHĨA,TRUNG TƯỚNG | TRƯƠNG ĐỨC NGHĨA | NGUYÊN PHÓ GIÁM ĐỐC | HỌC VIỆN QUỐC PHÒNG
