rank_name,position,seat
THIẾU TƯỚNG TRẦN THANH HẢI,PHÓ TƯ LỆNH QUÂN KHU,C3
THIẾU TƯỚNG NGUYỄN QUỐC HƯƠNG,PHÓ TƯ LỆNH QUÂN KHU,C5
TRUNG TƯỚNG TRẦN PHƯỚC TỚI,NGUYÊN PHÓ VIỆN TRƯỞNG VKSNDTC,C7
TRUNG TƯỚNG NGUYỄN THANH TUẤN,NGUYÊN CỤC TRƯỞNG CỤC TUYÊN HUẤN,C9
TRUNG TƯỚNG LÊ NGỌC NAM,NGUYÊN PHÓ CN UBKT QUÂN ỦY TRUNG ƯƠNG,C11
TRUNG TƯỚNG TẠ NHÂN,NGUYÊN PHÓ CN UBKT QUÂN ỦY TRUNG ƯƠNG,C13
TRUNG TƯỚNG LÊ VĂN HOÀNG,NGUYÊN CHÍNH ỦY TỔNG CỤC HẬU CẦN,C15
TRUNG TƯỚNG NGÔ QUÝ ĐỨC,NGUYÊN CỤC TRƯỞNG CỤC CH - CN,C17
THIẾU TƯỚNG PHAN ĐẠI NGHĨA,PHÓ TƯ LỆNH KIÊM TMT QUÂN KHU,C19
ĐỒNG CHÍ ĐẶNG KHÁNH TOÀN,"UỶ VIÊN BCHTW ĐẢNG, PHÓ CHÁNH VĂN PHÒNG TRUNG ƯƠNG ĐẢNG",C2
THƯỢNG TƯỚNG LÊ CHIÊM,NGUYÊN THỨ TRƯỞNG BQP,C4
THƯỢNG TƯỚNG VÕ TIẾN TRUNG,NGUYÊN GIÁM ĐỐC HỌC VIỆN QUỐC PHÒNG,C6
TRUNG TƯỚNG NGUYỄN TRUNG THU,NGUYÊN PHÓ TỔNG TMT QĐNDVN,C8
ĐỒNG CHÍ LÊ NGỌC QUANG,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ THÀNH ỦY ĐN",C10
ĐỒNG CHÍ HỒ VĂN NIÊN,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY Q.NGÃI",C12
ĐỒNG CHÍ THÁI ĐẠI NGỌC,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY GIA LAI",C14
ĐỒNG CHÍ LƯƠNG NGUYỄN MINH TRIẾT,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY ĐĂK LĂK",C16
ĐỒNG CHÍ NGHIÊM XUÂN THÀNH,"UỶ VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY K.HÒA",C18
ĐẠI BIỂU TRUNG ƯƠNG HỘI CỰU CHIẾN BINH VIỆT NAM,,C20
"ĐẠI BIỂU, THỦ TRƯỞNG TỔNG CỤC HẬU CẦN-KỸ THUẬT",,D1
"ĐẠI BIỂU, THỦ TRƯỞNG TỔNG CỤC II",,D3
"ĐẠI BIỂU, THỦ TRƯỞNG TỔNG CỤC CÔNG NGHIỆP QP",,D5
TRUNG TƯỚNG NGUYỄN VĂN TUYÊN,NGUYÊN PHÓ GIÁM ĐỐC HỌC VIỆN LỤC QUÂN,D7
TRUNG TƯỚNG TRƯƠNG ĐỨC NGHĨA,NGUYÊN PHÓ GIÁM ĐỐC HỌC VIỆN QUỐC PHÒNG,D9
THIẾU TƯỚNG ĐINH DƯƠNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D11
THIẾU TƯỚNG TRẦN MINH HÙNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D13
THIẾU TƯỚNG NGUYỄN QUY NHƠN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D15
THIẾU TƯỚNG NGUYỄN TRỌNG HUY,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D17
TRUNG TƯỚNG NGUYỄN NGỌC CẢ,NGUYÊN HIỆU TRƯỞNG TRƯỜNG SQLQ2,D19
ĐỒNG CHÍ NGUYỄN MẠNH HÙNG,PHÓ BÍ THƯ THÀNH ỦY CHỦ TỊCH UBND TP. ĐN,D2
ĐỒNG CHÍ NGUYỄN HOÀNG GIANG,UỶ VIÊN BCHTW ĐẢNG PHÓ BÍ THƯ TỈNH ỦY CHỦ TỊCH UBND T. QN,D4
ĐỒNG CHÍ PHẠM ANH TUẤN,UỶ VIÊN BCHTW ĐẢNG PHÓ BÍ THƯ TỈNH ỦY CHỦ TỊCH UBND T. G.LAI,D6
ĐỒNG CHÍ ĐỖ HỮU HUY,UVDK BCHTW ĐẢNG PHÓ BÍ THƯ TỈNH ỦY CHỦ TỊCH UBND T. ĐL,D8
ĐỒNG CHÍ NGUYỄN VIỆT HÙNG,PHÓ BÍ THƯ TỈNH ỦY CHỦ TỊCH UBND T. KH,D10
ĐẠI BIỂU BTL QUÂN KHU 1,,D12
ĐẠI BIỂU BTL QUÂN KHU 2,,D14
