rank_name,position,seat
ĐỒNG CHÍ NGUYỄN THỊ THU HÀ,ỦY VIÊN BCHTW ĐẢNG PHÓ VĂN PHÒNG TT VĂN PHÒNG TW ĐẢNG,C2
TRUNG TƯỚNG TRẦN MINH ĐỨC,CHỦ NHIỆM TỔNG CỤC HC - Đoàn KT - QP 206,C3
THIẾU TƯỚNG NGUYỄN VĂN THÂN,TRỢ LÝ BỘ TRƯỞNG BỘ QUỐC PHÒNG,C4
TRUNG TƯỚNG TRẦN CÔNG CHÍNH TỔNG CỤC TRƯỞNG TỔNG CỤC II,,C5
TRUNG TƯỚNG LÊ XUÂN THẾ,"ỦY VIÊN BCHTW ĐẢNG, TƯ LỆNH QUÂN KHU 7",C6
TRUNG TƯỚNG ĐINH QUỐC HÙNG,CHÍNH ỦY TỔNG CỤC CÔNG NGHIỆP QP,C7
TRUNG TƯỚNG VŨ HỒNG SƠN,"ỦY VIÊN BCHTW ĐẢNG, TƯ LỆNH QC PK-KQ",C8
TRUNG TƯỚNG NGUYỄN VĂN HÙNG,PHÓ CN UBKT QUÂN ỦY TW,C9
PHÓ ĐÔ ĐỐC TRẦN THANH NGHIÊM,"ỦY VIÊN BCHTW ĐẢNG, TƯ LỆNH QC HẢI QUÂN",C10
TRUNG TƯỚNG NGUYỄN VĂN TUYÊN,NGUYÊN PHÓ GIÁM ĐỐC HỌC VIỆN,C11
TRUNG TƯỚNG ĐÀO TUẤN ANH,"ỦY VIÊN BCHTW ĐẢNG, TƯ LỆNH QUÂN ĐOÀN 34",C12
THIẾU TƯỚNG NGUYỄN QUY NHƠN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C13
THIẾU TƯỚNG TRẦN VĂN BẮC,"ỦY VIÊN BCHTW ĐẢNG, TƯ LỆNH QUÂN KHU 2",C14
THIẾU TƯỚNG NGUYỄN TRỌNG HUY,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C15
ĐỒNG CHÍ TRẦN NAM HƯNG,ỦY VIÊN BTV PHÓ CHỦ TỊCH UBND TP. ĐÀ NẴNG,C16
TRUNG TƯỚNG LÊ VĂN HOÀNG,NGUYÊN CHÍNH ỦY TỔNG CỤC HẬU CẦN,C17
ĐỒNG CHÍ ĐỖ HỮU HUY,"UVDK BCHTW ĐẢNG, PHÓ BÍ THƯ TỈNH ỦY CHỦ TỊCH UBND T. ĐL",C18
THIẾU TƯỚNG TRẦN MINH TRỌNG,PHÓ CHÍNH ỦY QUÂN KHU,C19
THIẾU TƯỚNG HỨA VĂN TƯỞNG,PHÓ TƯ LỆNH QUÂN KHU,C20
TRUNG TƯỚNG NGÔ QUÝ ĐỨC,NGUYÊN CỤC TRƯỞNG CỤC CH - CN,D1
