rank_name,position,seat
TRUNG TƯỚNG NGUYỄN VIẾT TUYÊN,CHÁNH VĂN PHÒNG QUÂN ỦY TW VĂN PHÒNG BQP,C3
PHÓ ĐÔ ĐỐC TRẦN THANH NGHIÊM,TƯ LỆNH QUÂN CHỦNG HẢI QUÂN,C4
TRUNG TƯỚNG NGUYỄN VĂN HÙNG,PHÓ CN UBKT QUÂN ỦY TW,C5
ĐỒNG CHÍ NGUYỄN MẠNH HÙNG,PHÓ BÍ THƯ THÀNH ỦY CHỦ TỊCH UBND TP. ĐN,C6
TRUNG TƯỚNG NGUYỄN VĂN TUYÊN,NGUYÊN PHÓ GIÁM ĐỐC HỌC VIỆN,C7
ĐỒNG CHÍ NGUYỄN HOÀNG GIANG,"UỶ VIÊN BCHTW ĐẢNG, PHÓ BÍ THƯ TỈNH ỦY CHỦ TỊCH UBND T. QN",C8
THIẾU TƯỚNG TRẦN MINH HÙNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C9
ĐỒNG CHÍ PHẠM ANH TUẤN,"UỶ VIÊN BCHTW ĐẢNG, PHÓ BÍ THƯ TỈNH ỦY CHỦ TỊCH UBND T. G.LAI",C10
THIẾU TƯỚNG NGUYỄN QUY NHƠN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C11
ĐỒNG CHÍ ĐỖ HỮU HUY,"UVDK BCHTW ĐẢNG, PHÓ BÍ THƯ TỈNH ỦY CHỦ TỊCH UBND T. ĐL",C12
THIẾU TƯỚNG NGUYỄN TRỌNG HUY,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C13
ĐỒNG CHÍ NGUYỄN VIỆT HÙNG,PHÓ BÍ THƯ TỈNH ỦY CHỦ TỊCH UBND T. KH,C14
TRUNG TƯỚNG LÊ VĂN HOÀNG,NGUYÊN CHÍNH ỦY TỔNG CỤC HẬU CẦN,C15
THIẾU TƯỚNG NGUYỄN QUỐC HƯƠNG,PHÓ TƯ LỆNH QUÂN KHU,C16
TRUNG TƯỚNG NGÔ QUÝ ĐỨC,NGUYÊN CỤC TRƯỞNG CỤC CH - CN,C17
THIẾU TƯỚNG HỨA VĂN TƯỞNG,PHÓ TƯ LỆNH QUÂN KHU,C18
THIẾU TƯỚNG TRẦN THANH HẢI,PHÓ TƯ LỆNH QUÂN KHU,C19
THIẾU TƯỚNG PHAN ĐẠI NGHĨA,PHÓ TƯ LỆNH KIÊM TMT QUÂN KHU,C20
"ĐẠI BIỂU, THỦ TRƯỞNG TỔNG CỤC II",,D1
TRUNG TƯỚNG VŨ HỒNG SƠN,TƯ LỆNH QUÂN CHỦNG PK - KQ,D2
"ĐẠI BIỂU, THỦ TRƯỞNG TỔNG CỤC CÔNG NGHIỆP QP",,D3
TRUNG TƯỚNG LÊ XUÂN THẾ,TƯ LỆNH QUÂN KHU 7,D4
THIẾU TƯỚNG VÕ DUY CHÍN,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,D5
TRUNG TƯỚNG ĐÀO TUẤN ANH,TƯ LỆNH BTL QUÂN ĐOÀN 34,D6
